avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume
"489,124",-2.99,Regal Rexnord Corporation,161.235,10722514944,,-1.82%,Industrials,RRX,13171
"376,312",-2.21,ITT Inc.,128.27,10551516160,25.81,-1.69%,Industrials,ITT,17721
"315,529",-3.12,"Clean Harbors, Inc.",192.88,10538481664,27.71,-1.59%,Industrials,CLH,21253
1.564M,-0.49,APi Group Corporation,37.02,10093021184,,-1.31%,Industrials,APG,149833
"274,624",-0.65,"Tetra Tech, Inc.",188.64,10085901312,43.67,-0.34%,Industrials,TTEK,13411
"451,506",-0.94,Avient Corporation,42.32,3861831424,50.99,-2.17%,Basic Materials,AVNT,13289
"777,433",-1.10,The Scotts Miracle-Gro Company,67.42,3822194688,,-1.61%,Basic Materials,SMG,31571
"884,612",-0.19,"Warrior Met Coal, Inc.",65.93,3447961088,7.17,-0.29%,Basic Materials,HCC,34708
"77,035",-3.00,Quaker Chemical Corporation,186.92,3363027200,29.81,-1.58%,Basic Materials,KWR,412
7.828M,-0.22,Hecla Mining Company,5.02,3096301056,,-4.20%,Basic Materials,HL,4515228
"118,040",-1.72,WD-40 Company,224.97,3048928512,44.90,-0.76%,Basic Materials,WDFC,7269
"86,800",-1.68,Innospec Inc.,120.355,3002472192,21.61,-1.38%,Basic Materials,IOSP,3056
"240,058",-0.96,Sensient Technologies Corporation,69.07,2924693248,31.25,-1.37%,Basic Materials,SXT,10452
"513,891",+0.17,"Arch Resources, Inc.",159.415,2908686080,6.59,+0.11%,Basic Materials,ARCH,51761
"767,540",-0.42,Constellium SE,19.565,2872533504,21.74,-2.13%,Basic Materials,CSTM,175765
1.119M,-0.31,Tronox Holdings plc,17.3,2730597376,,-1.76%,Basic Materials,TROX,54409
"371,138",-0.75,Tecnoglass Inc.,55.15,2591868160,14.32,-1.34%,Basic Materials,TGLS,6374
3.86M,-0.09,MP Materials Corp.,15.65,2594425600,111.79,-0.57%,Basic Materials,MP,269256
"388,237",-1.76,Sylvamo Corporation,60.97,2527919872,10.28,-2.81%,Basic Materials,SLVM,8322
"103,811",-0.72,Materion Corporation,117.738,2440814592,25.71,-0.61%,Basic Materials,MTRN,12468
"153,024",-0.43,Minerals Technologies Inc.,71.67,2314969600,27.78,-0.60%,Basic Materials,MTX,6782
"74,430",-0.87,Stepan Company,84.02,1887433600,48.01,-1.02%,Basic Materials,SCL,1030
"25,751",0.00,"United States Lime & Minerals, Inc.",304,1735605888,23.26,0.00%,Basic Materials,USLM,576
"224,654",-0.99,Ingevity Corporation,47.245,1714091136,,-2.04%,Basic Materials,NGVT,13737
"246,232",-0.14,"Worthington Steel, Inc.",32.44,1634430976,,-0.43%,Basic Materials,WS,31041
"156,732",-1.16,"Hawkins, Inc.",76.04,1592764288,21.85,-1.51%,Basic Materials,HWKN,5508
1.406M,-0.29,Century Aluminum Company,17.1,1585178496,,-1.67%,Basic Materials,CENX,172499
"150,446",-0.23,Kaiser Aluminum Corporation,87.1,1394976128,29.83,-0.26%,Basic Materials,KALU,47248
1.163M,-0.42,Green Plains Inc.,21.33,1378865024,,-1.93%,Basic Materials,GPRE,40433
"378,853",-0.44,Orion S.A.,23.09,1336883328,13.35,-1.87%,Basic Materials,OEC,11583
"582,809",+0.03,Seabridge Gold Inc.,15.185,1318875008,,+0.16%,Basic Materials,SA,145928
"262,608",-0.36,"Kronos Worldwide, Inc.",11.24,1292903424,,-3.10%,Basic Materials,KRO,12260
"781,780",-0.14,Ecovyst Inc.,9.895,1157625984,16.49,-1.45%,Basic Materials,ECVT,36078
"67,906",-0.25,Graphjet Technology,6.903,997897664,,-3.45%,Basic Materials,GTI,3364
"491,554",-0.13,Ivanhoe Electric Inc.,9.2699,1115233920,,-1.38%,Basic Materials,IE,37100
"120,120",-0.78,Koppers Holdings Inc.,52.45,1110125184,12.67,-1.47%,Basic Materials,KOP,4118
1.277M,-0.10,"Select Water Solutions, Inc.",9.26,1101356672,12.86,-1.07%,Basic Materials,WTTR,185325
"809,003",-0.04,"Perimeter Solutions, SA",6.96,1010870400,16.98,-0.57%,Basic Materials,PRM,33362
"43,370",+0.02,Nexa Resources S.A.,7.41,981372992,,+0.27%,Basic Materials,NEXA,196
"461,546",-0.34,"Mativ Holdings, Inc.",18,977405376,,-1.85%,Basic Materials,MATV,14191
"139,158",-0.97,REX American Resources Corporation,55,962703488,15.85,-1.73%,Basic Materials,REX,4915
1.629M,+0.01,Ferroglobe PLC,5.1,955913408,11.09,+0.20%,Basic Materials,GSM,88125
"282,901",-0.21,Metallus Inc.,21.28,933985600,,-0.98%,Basic Materials,MTUS,18378
"84,279",-0.05,Metals Acquisition Limited,13.17,913394816,,-0.38%,Basic Materials,MTAL,8742
"890,725",-0.12,"SunCoke Energy, Inc.",10.259,862530560,15.09,-1.17%,Basic Materials,SXC,58718
"43,372",+0.35,"CVR Partners, LP",76.025,803553856,4.66,+0.46%,Basic Materials,UAN,2094
"811,738",-0.07,"Ramaco Resources, Inc.",15.32,780031552,8.86,-0.45%,Basic Materials,METC,35365
"27,720",+0.01,Westlake Chemical Partners LP,21.9524,773341376,14.25,+0.06%,Basic Materials,WLKP,2839
"81,706",-1.05,"Olympic Steel, Inc.",66.51,740422592,17.28,-1.55%,Basic Materials,ZEUS,1591
"64,627",0.00,Bioceres Crop Solutions Corp.,11.92,721994432,34.06,0.00%,Basic Materials,BIOX,231
"152,083",-0.57,AdvanSix Inc.,26.07,696068992,13.37,-2.14%,Basic Materials,ASIX,5580
"360,785",-0.01,"Gatos Silver, Inc.",9.896,684615168,54.98,-0.14%,Basic Materials,GATO,29219
"43,083",+0.12,Lavoro Limited,5.855,682739840,,+1.93%,Basic Materials,LVRO,552
"253,493",-0.05,Mercer International Inc.,10.18,680529984,,-0.49%,Basic Materials,MERC,15518
12.237M,-0.81,"NextEra Energy, Inc.",65.75,135085350912,17.96,-1.22%,Utilities,NEE,1669974
4.856M,-0.45,The Southern Company,73.46,80411516928,20.29,-0.61%,Utilities,SO,438895
3.035M,-0.63,Duke Energy Corporation,98.33,75857657856,18.38,-0.64%,Utilities,DUK,260242
2.531M,+1.77,Constellation Energy Corporation,187.935,59222261760,37.51,+0.95%,Utilities,CEG,204306
3.01M,-0.73,Sempra,71.31,45109850112,14.89,-1.01%,Utilities,SRE,193985
3.754M,-0.81,"American Electric Power Company, Inc.",85.565,45057675264,20.18,-0.93%,Utilities,AEP,209551
15.529M,-0.42,PG&E Corporation,16.575,43339980800,15.79,-2.50%,Utilities,PCG,2462459
5.555M,-0.61,"Dominion Energy, Inc.",50.62,42398957568,20.41,-1.19%,Utilities,D,438097
7.461M,-4.43,GE Vernova Inc.,141.745,38566543360,,-3.03%,Utilities,GEV,1224392
6.616M,-0.40,Exelon Corporation,37.37,37360095232,15.97,-1.06%,Utilities,EXC,611683
2.908M,-0.44,Public Service Enterprise Group Incorporated,66.79,33300627456,13.02,-0.65%,Utilities,PEG,120918
1.903M,-0.47,"Consolidated Edison, Inc.",92.96,32138223616,12.89,-0.50%,Utilities,ED,183813
5.734M,-0.25,Xcel Energy Inc.,55.08,30595289088,17.16,-0.45%,Utilities,XEL,864122
2.14M,-0.74,Edison International,70.08,26958374912,22.53,-1.04%,Utilities,EIX,268707
2.095M,-0.67,"WEC Energy Group, Inc.",81.96,25884688384,19.42,-0.81%,Utilities,WEC,117513
5.674M,+1.07,Vistra Corp.,71.53,24952881152,19.98,+1.52%,Utilities,VST,621916
1.576M,-1.06,"American Water Works Company, Inc.",120.3,23437086720,24.55,-0.87%,Utilities,AWK,177072
1.259M,-1.04,DTE Energy Company,110.51,22867281920,16.35,-0.93%,Utilities,DTE,162237
1.462M,-0.24,Entergy Corporation,106.225,22654922752,9.57,-0.22%,Utilities,ETR,190937
3.044M,-0.31,FirstEnergy Corp.,37.995,21866731520,19.39,-0.80%,Utilities,FE,227562
2.773M,-0.88,Eversource Energy,59.96,21029591040,,-1.45%,Utilities,ES,109180
4.946M,-0.22,PPL Corporation,27.15,20029151232,27.15,-0.80%,Utilities,PPL,421150
1.728M,-0.62,Ameren Corporation,74.09,19745800192,16.92,-0.83%,Utilities,AEE,72233
4.169M,-0.11,"CenterPoint Energy, Inc.",28.955,18331324416,21.14,-0.40%,Utilities,CNP,843774
2.555M,-0.93,CMS Energy Corporation,59.35,17722976256,19.72,-1.54%,Utilities,CMS,359510
"841,500",-1.25,Atmos Energy Corporation,117.41,17710125056,18.73,-1.05%,Utilities,ATO,40852
3.815M,+0.05,"NRG Energy, Inc.",72.66,15602573312,,+0.07%,Utilities,NRG,130206
"956,208",-0.55,"Avangrid, Inc.",36.47,14105539584,17.97,-1.49%,Utilities,AGR,49224
1.953M,-0.48,Alliant Energy Corporation,49.89,12790697984,17.95,-0.95%,Utilities,LNT,130036
4.386M,-0.26,NiSource Inc.,27.915,12511168512,18.86,-0.94%,Utilities,NI,239184
9.032M,-0.25,The AES Corporation,17.12,12169033728,50.35,-1.44%,Utilities,AES,433260
2.454M,-0.44,"Evergy, Inc.",52.045,11957130240,16.42,-0.83%,Utilities,EVRG,183891
1.783M,-0.45,"Essential Utilities, Inc.",36.09,9871192064,19.40,-1.23%,Utilities,WTRG,100498
1.376M,-0.62,Pinnacle West Capital Corporation,73.915,8393565696,16.76,-0.84%,Utilities,PNW,43503
1.567M,+0.01,OGE Energy Corp.,34.335,6885781504,16.59,+0.04%,Utilities,OGE,331535
1.371M,-0.09,New Fortress Energy Inc.,27.51,5640705536,10.38,-0.33%,Utilities,NFE,113555
2.131M,-0.28,UGI Corporation,25.72,5389651968,,-1.08%,Utilities,UGI,113207
3.565M,-1.32,"Prologis, Inc.",101.855,94220763136,30.96,-1.28%,Real Estate,PLD,430445
"500,969",-0.48,"Southwest Gas Holdings, Inc.",74.77,5356059136,35.10,-0.64%,Utilities,SWX,9059
"389,524",+0.08,"IDACORP, Inc.",94.4,4785532416,18.37,+0.08%,Utilities,IDA,48434
"232,120",-0.50,"Clearway Energy, Inc.",21.26,4491217408,31.73,-2.30%,Utilities,CWEN-A,16104
"895,740",-0.47,Portland General Electric Company,43.22,4374771712,18.55,-1.08%,Utilities,POR,37407
"524,317",-0.48,New Jersey Resources Corporation,43.225,4249168896,17.79,-1.09%,Utilities,NJR,25812
"481,769",-1.06,"Ormat Technologies, Inc.",63.93,3860189440,30.74,-1.63%,Utilities,ORA,45871
"545,940",-0.58,Black Hills Corporation,53.96,3684901632,13.80,-1.06%,Utilities,BKH,15931
"438,287",-0.85,"ONE Gas, Inc.",64.08,3624967168,15.48,-1.31%,Utilities,OGS,9706
"273,467",-1.15,Otter Tail Corporation,84.55,3532237056,12.08,-1.34%,Utilities,OTTR,7899
"285,980",-0.44,"ALLETE, Inc.",59.52,3432238592,13.84,-0.73%,Utilities,ALE,4439
"484,901",-0.39,Spire Inc.,61.66,3390276352,16.62,-0.63%,Utilities,SR,25112
"967,937",-0.30,"PNM Resources, Inc.",35.94,3241802240,35.24,-0.83%,Utilities,PNM,41169
2.52M,-1.62,American Tower Corporation,171.725,80189046784,54.17,-0.94%,Real Estate,AMT,232444
"619,698",-20.15,"Equinix, Inc.",736.69,69914976256,71.59,-2.66%,Real Estate,EQIX,82200
2.694M,-0.66,Welltower Inc.,93.04,54991011840,134.84,-0.70%,Real Estate,WELL,257726
1.511M,-1.63,"Simon Property Group, Inc.",141.18,52888563712,20.23,-1.14%,Real Estate,SPG,335938
"713,406",-2.51,Public Storage,259.665,45750378496,23.48,-0.96%,Real Estate,PSA,69535
